date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:53:01	356760/356760	U-----	200	untouched ('')	image/jpeg	etag:%22e0154748aa7128eaa4ccacf8be22d708%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65eb9ef587b214d7c648c4a0_3331327-Tirana-.jpg	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65eb9ef587b214d7c648c4a0_3331327-Tirana-.jpg	(from https://www.bstrust369.com/about)
06:53:01	94168/94168	U-----	200	untouched ('')	image/webp	etag:%22e65b57b457018ab3d3c79ab3f48882f5%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e725860dff8ddbac53effe_Who%20We%20Are%20(1).webp	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e725860dff8ddbac53effe_Who%20We%20Are%20(1).webp	(from https://www.bstrust369.com/about)
06:53:01	287157/287157	U-----	200	untouched ('')	image/jpeg	etag:%2205582d27bc0f59767f8a3005f524038a%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e725860dff8ddbac53f000_Work%20With%20Us%20(1).jpg	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e725860dff8ddbac53f000_Work%20With%20Us%20(1).jpg	(from https://www.bstrust369.com/about)
06:53:01	153530/153530	U-----	200	untouched ('')	image/jpeg	etag:%221aa2011fd4fcdd5639f474220aa7e15c%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e7a2731426cc7e552c459f_24e88a01-2ffa-4d4c-b1e5-e96d30db0d0a.jpg	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e7a2731426cc7e552c459f_24e88a01-2ffa-4d4c-b1e5-e96d30db0d0a.jpg	(from https://www.bstrust369.com/about)
06:53:03	23122/23122	U--M-Z	200	updated ('OK')	application/javascript	etag:W/%225a52-7l0c8IkTDtvDwGJJ3Yh02Lyvxx0%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	C:/My%20Web%20Sites/BS/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://www.bstrust369.com/catalog)
06:53:03	18440/18440	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%224808-98jcUWHSC9JHe1jYw2HWpeOx6ko%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	C:/My%20Web%20Sites/BS/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	(from https://www.bstrust369.com/catalog)
06:53:03	29716/29716	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:53:01%20GMT	https://www.bstrust369.com/listings/prodazha-bolshoy-kvartiry-3-1-2-sanuzla	C:/My%20Web%20Sites/BS/www.bstrust369.com/listings/prodazha-bolshoy-kvartiry-3-1-2-sanuzla.html	(from https://www.bstrust369.com/catalog)
06:53:03	328945/328945	U-----	200	untouched ('')	image/jpeg	etag:%220dfe6f18499483d8b3e2385c78943b97%22	https://cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e76d616633e9a708dc6b49_albania-berat-ezgif.com-crop.jpg	C:/My%20Web%20Sites/BS/cdn.prod.website-files.com/65e725860dff8ddbac53ef69/65e76d616633e9a708dc6b49_albania-berat-ezgif.com-crop.jpg	(from https://www.bstrust369.com/catalog)
06:53:04	29344/29344	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:53:03%20GMT	https://www.bstrust369.com/listings/prodazha-kvartiry-1-1-v-spalnom-rayone-durresa	C:/My%20Web%20Sites/BS/www.bstrust369.com/listings/prodazha-kvartiry-1-1-v-spalnom-rayone-durresa.html	(from https://www.bstrust369.com/catalog)
06:53:04	36045/36045	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:53:03%20GMT	https://www.bstrust369.com/listings/prodazha-kvartiry-2-1-v-delvine-r-n-sarandy	C:/My%20Web%20Sites/BS/www.bstrust369.com/listings/prodazha-kvartiry-2-1-v-delvine-r-n-sarandy.html	(from https://www.bstrust369.com/catalog)
06:53:26	28180/28180	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:53:04%20GMT	https://www.bstrust369.com/listings/dlya-prodazhi-kvartira-1-1-u-morya	C:/My%20Web%20Sites/BS/www.bstrust369.com/listings/dlya-prodazhi-kvartira-1-1-u-morya.html	(from https://www.bstrust369.com/catalog)
06:53:26	31177/31177	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:53:04%20GMT	https://www.bstrust369.com/listings/prodazha-kvartiry-1-1-s-bokovym-vidom-na-more-i-skalu-kavaya	C:/My%20Web%20Sites/BS/www.bstrust369.com/listings/prodazha-kvartiry-1-1-s-bokovym-vidom-na-more-i-skalu-kavaya.html	(from https://www.bstrust369.com/catalog)
06:53:26	31707/31707	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:53:04%20GMT	https://www.bstrust369.com/listings/prodazha-kvartiry-1-1-v-dome-arabian	C:/My%20Web%20Sites/BS/www.bstrust369.com/listings/prodazha-kvartiry-1-1-v-dome-arabian.html	(from https://www.bstrust369.com/catalog)
06:53:48	49389/49389	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2004%20Sep%202024%2004:53:26%20GMT	https://www.bstrust369.com/catalog?a4bd01e5_page=2	C:/My%20Web%20Sites/BS/www.bstrust369.com/catalog31a4.html	(from https://www.bstrust369.com/catalog)
